country,idD
ja_JP,0
en_US,0
fr_FR,0
ko_KR,0
pt_BR,0
it_IT,0
es_ES,0
de_DE,0
ru_RU,0
zh_CN,0
zh_TW,0
ja_JP,1
en_US,1
fr_FR,1
ko_KR,1
pt_BR,1
it_IT,1
es_ES,1
de_DE,1
ru_RU,1
zh_CN,1
zh_TW,1
ja_JP,2
en_US,2
fr_FR,2
ko_KR,2
pt_BR,2
it_IT,2
es_ES,2
de_DE,2
ru_RU,2
zh_CN,2
zh_TW,2
ja_JP,3
en_US,3
fr_FR,3
ko_KR,3
pt_BR,3
it_IT,3
es_ES,3
de_DE,3
ru_RU,3
zh_CN,3
zh_TW,3
ja_JP,4
en_US,4
fr_FR,4
ko_KR,4
pt_BR,4
it_IT,4
es_ES,4
de_DE,4
ru_RU,4
zh_CN,4
zh_TW,4
ja_JP,5
en_US,5
fr_FR,5
ko_KR,5
pt_BR,5
it_IT,5
es_ES,5
de_DE,5
ru_RU,5
zh_CN,5
zh_TW,5
ja_JP,6
en_US,6
fr_FR,6
ko_KR,6
pt_BR,6
it_IT,6
es_ES,6
de_DE,6
ru_RU,6
zh_CN,6
zh_TW,6
ja_JP,7
en_US,7
fr_FR,7
ko_KR,7
pt_BR,7
it_IT,7
es_ES,7
de_DE,7
ru_RU,7
zh_CN,7
zh_TW,7
ja_JP,8
en_US,8
fr_FR,8
ko_KR,8
pt_BR,8
it_IT,8
es_ES,8
de_DE,8
ru_RU,8
zh_CN,8
zh_TW,8
ja_JP,9
en_US,9
fr_FR,9
ko_KR,9
pt_BR,9
it_IT,9
es_ES,9
de_DE,9
ru_RU,9
zh_CN,9
zh_TW,9
ja_JP,10
en_US,10
fr_FR,10
ko_KR,10
pt_BR,10
it_IT,10
es_ES,10
de_DE,10
ru_RU,10
zh_CN,10
zh_TW,10
ja_JP,11
en_US,11
fr_FR,11
ko_KR,11
pt_BR,11
it_IT,11
es_ES,11
de_DE,11
ru_RU,11
zh_CN,11
zh_TW,11
ja_JP,12
en_US,12
fr_FR,12
ko_KR,12
pt_BR,12
it_IT,12
es_ES,12
de_DE,12
ru_RU,12
zh_CN,12
zh_TW,12
ja_JP,13
en_US,13
fr_FR,13
ko_KR,13
pt_BR,13
it_IT,13
es_ES,13
de_DE,13
ru_RU,13
zh_CN,13
zh_TW,13
ja_JP,14
en_US,14
fr_FR,14
ko_KR,14
pt_BR,14
it_IT,14
es_ES,14
de_DE,14
ru_RU,14
zh_CN,14
zh_TW,14
ja_JP,15
en_US,15
fr_FR,15
ko_KR,15
pt_BR,15
it_IT,15
es_ES,15
de_DE,15
ru_RU,15
zh_CN,15
zh_TW,15
ja_JP,16
en_US,16
fr_FR,16
ko_KR,16
pt_BR,16
it_IT,16
es_ES,16
de_DE,16
ru_RU,16
zh_CN,16
zh_TW,16
ja_JP,17
en_US,17
fr_FR,17
ko_KR,17
pt_BR,17
it_IT,17
es_ES,17
de_DE,17
ru_RU,17
zh_CN,17
zh_TW,17
ja_JP,18
en_US,18
fr_FR,18
ko_KR,18
pt_BR,18
it_IT,18
es_ES,18
de_DE,18
ru_RU,18
zh_CN,18
zh_TW,18
ja_JP,19
en_US,19
fr_FR,19
ko_KR,19
pt_BR,19
it_IT,19
es_ES,19
de_DE,19
ru_RU,19
zh_CN,19
zh_TW,19
